x1,x2,y1,y2
151,178,69,117
178,205,69,117
205,232,69,117
232,259,69,117
259,286,69,117
286,313,69,117
312,339,69,117
352,379,69,117
379,406,69,117
406,433,69,117
433,460,69,117
460,487,69,117
487,514,69,117
514,541,69,117
541,568,69,117
580,607,69,117
607,634,69,117
634,661,69,117
661,688,69,117
688,715,69,117
715,742,69,117
742,769,69,117
769,796,69,117
808,835,69,117
835,862,69,117
862,889,69,117
889,916,69,117
916,943,69,117
943,970,69,117
232,259,186,234
259,286,186,234
286,313,186,234
313,340,186,234
352,379,186,234
379,406,186,234
406,433,186,234
433,460,186,234
460,487,186,234
487,514,186,234
514,541,186,234
541,568,186,234
580,607,186,234
607,634,186,234
634,661,186,234
661,688,186,234
688,715,186,234
715,742,186,234
742,769,186,234
769,796,186,234
808,835,186,234
835,862,186,234
862,889,186,234
232,259,235,283
259,286,235,283
286,313,235,283
313,340,235,283
352,379,235,283
379,406,235,283
406,433,235,283
433,460,235,283
460,487,235,283
487,514,235,283
514,541,235,283
541,568,235,283
580,607,235,283
607,634,235,283
634,661,235,283
661,688,235,283
688,715,235,283
715,742,235,283
742,769,235,283
769,796,235,283
808,835,235,283
835,862,235,283
862,889,235,283
151,178,355,404
178,205,355,404
205,232,355,404
232,259,355,404
259,286,355,404
286,313,355,404
312,339,355,404
352,379,355,404
379,406,355,404
406,433,355,404
433,460,355,404
460,487,355,404
487,514,355,404
514,541,355,404
541,568,355,404
580,607,355,404
607,634,355,404
634,661,355,404
661,688,355,404
688,715,355,404
715,742,355,404
742,769,355,404
769,796,355,404
808,835,355,404
835,862,355,404
862,889,355,404
889,916,355,404
916,943,355,404
943,970,355,404
198,224.5,432,481
224.5,251,432,481
251,277.5,432,481
277.5,304,432,481
304,330.5,432,481
330.5,357,432,481
357,383.5,432,481
383.5,410,432,481
410,436.5,432,481
436.5,463,432,481
463,489.5,432,481
489.5,516,432,481
516,542.5,432,481
542.5,569,432,481
569,595.5,432,481
595.5,622,432,481
623,649.5,432,481
649.5,676,432,481
676,702.5,432,481
702.5,729,432,481
729,755.5,432,481
755.5,782,432,481
782,808.5,432,481
808.5,835,432,481
835,861.5,432,481
861.5,888,432,481
888,914.5,432,481
914.5,941,432,481
97,124,560,608
124,151,560,608
151,178,560,608
178,205,560,608
205,232,560,608
247,316,544,579
316,385,544,579
385,454,544,579
465,492,560,608
492,519,560,608
519,546,560,608
546,573,560,608
573,600,560,608
600,627,560,608
627,654,560,608
654,681,560,608
694,720.5,560,608
720.5,747,560,608
747,773.5,560,608
774,801,560,608
801,828,560,608
828,855,560,608
855,882,560,608
882,909,560,608
909,936,560,608
124,151,617,665
151,178,617,665
178,205,617,665
205,232,617,665
457,484,617,665
484,511,617,665
511,538,617,665
538,565,617,665
580,607,617,665
607,634,617,665
634,661,617,665
661,688,617,665
688,715,617,665
715,742,617,665
742,769,617,665
769,796,617,665
808,835,617,665
835,862,617,665
862,889,617,665
889,916,617,665
916,943,617,665
943,970,617,665
970,997,617,665
997,1024,617,665
1038,1065,617,665
1065,1092,617,665
124,151,735,783
151,178,735,783
178,205,735,783
205,232,735,783
232,259,735,783
259,286,735,783
286,313,735,783
313,340,735,783
348,375,735,783
375,402,735,783
402,429,735,783
429,456,735,783
456,483,735,783
483,510,735,783
510,537,735,783
537,564,735,783
578,605,735,783
605,632,735,783
632,659,735,783
659,686,735,783
686,713,735,783
713,740,735,783
740,767,735,783
767,794,735,783
807,834,735,783
834,861,735,783
861,888,735,783
888,915,735,783
915,942,735,783
942,969,735,783
969,996,735,783
996,1023,735,783
124,151,784,832
151,178,784,832
178,205,784,832
205,232,784,832
232,259,784,832
259,286,784,832
286,313,784,832
313,340,784,832
348,375,784,832
375,402,784,832
402,429,784,832
429,456,784,832
456,483,784,832
483,510,784,832
510,537,784,832
537,564,784,832
578,605,784,832
605,632,784,832
632,659,784,832
659,686,784,832
686,713,784,832
713,740,784,832
740,767,784,832
767,794,784,832
807,834,784,832
834,861,784,832
861,888,784,832
888,915,784,832
915,942,784,832
942,969,784,832
969,996,784,832
996,1023,784,832
112,137,904,952
152,177,904,952
192,217,904,952
232,257,904,952
272,297,904,952
312,337,904,952
347,374,904,952
374,401,904,952
401,428,904,952
428,455,904,952
455,482,904,952
482,509,904,952
509,536,904,952
536,563,904,952
578,605,904,952
605,632,904,952
632,659,904,952
659,686,904,952
686,713,904,952
713,740,904,952
740,767,904,952
767,794,904,952
806,833,904,952
833,860,904,952
860,887,904,952
887,914,904,952
914,941,904,952
941,968,904,952
968,995,904,952
995,1022,904,952
1022,1049,904,952
1049,1076,904,952
